Date,close,high,low,open,volume
2021-01-04,110.37372589111328,113.88952936379617,109.26100984351241,113.42200257188222,3472100
2021-01-05,110.96279907226562,111.5331822879461,109.49476533696311,110.579430840189,2112700
2021-01-06,115.06768798828125,116.62923284407805,112.96381749331916,113.14147995129487,5861500
2021-01-07,114.15750885009766,117.9389868006589,110.1132918471273,116.44703474983403,8696600
2021-01-08,114.27009582519531,114.66419363676424,112.1494630179949,114.54221302620432,2934500
2021-01-11,113.59449768066406,113.92291968889003,112.02748457183633,112.9939656250785,3311000
2021-01-12,114.1199722290039,114.77680194853811,113.27547176181206,114.4765359111929,2671300
2021-01-13,114.85186767578125,116.2499807097151,113.68833770198628,114.10119901977406,3678300
2021-01-14,116.14677429199219,116.82237471286528,114.56099036849325,115.0864613396765,3404700
2021-01-15,114.61730194091797,115.28351707334707,114.20443340181511,114.92695334524511,3948200
2021-01-19,118.93360137939453,120.1628142191718,116.5783856513325,117.75130085231272,5818500
2021-01-20,120.98857879638672,121.5515696310371,119.23389467687063,119.34649713914546,4090200
2021-01-21,119.57167053222656,120.94163466224177,118.32368700896458,120.37862962453416,3654900
2021-01-22,118.36124420166016,119.22450826116952,117.17894341473605,117.98590982307545,2954800
2021-01-25,113.67893981933594,117.2915171146871,112.90012242755697,116.5783826861361,6156700
2021-01-26,108.9872817993164,112.87197636841704,108.58379868422111,111.4269439831666,8932500
2021-01-27,107.05433654785156,109.59722356779727,105.18705713794999,107.77685648100315,5816900
2021-01-28,111.63338470458984,112.95642940440456,109.40953477901645,110.18835223518975,5788500
2021-01-29,109.09050750732422,111.08915258813452,108.66825370676533,110.47923520437622,5059300
2021-02-01,109.81302642822266,111.9336594018395,109.78487760503114,110.441707342524,3359800
2021-02-02,113.2566909790039,114.87062346998994,110.9859288272242,110.9953141534945,4036700
2021-02-03,113.01274108886719,113.51944137462925,112.18700410811107,112.67494089835915,2782500
2021-02-04,117.19772338867188,117.67627493838653,113.35056180985909,113.52884010570698,3915900
2021-02-05,118.49259948730469,119.48722941589288,117.88268207190531,118.81163618598274,3184200
2021-02-08,120.09713745117188,120.48184993431293,118.9336075162562,119.04620995856673,3360900
2021-02-09,118.8679428100586,119.78751166627123,118.41754013052618,119.77812633824347,2175000
2021-02-10,120.32234954833984,120.76336688476515,119.01806819447765,119.75935158735524,2929100
2021-02-11,120.39740753173828,121.15745435597107,119.14943109218608,119.5904412319006,3733000
2021-02-12,121.62662506103516,122.41483505459296,120.10653135527058,120.28481677860134,2873300
2021-02-16,122.62124633789062,122.83707305502962,120.34110593999891,120.96040863491268,2730600
2021-02-17,120.63198852539062,123.07165803691417,120.51939324011872,122.05825751602656,3088800
2021-02-18,120.56632232666016,120.88535187223975,118.3049380484116,119.62798286817896,2269700
2021-02-19,123.58775329589844,125.13599586080431,121.50465444846694,121.50465444846694,3419500
2021-02-22,127.56626892089844,128.05420570905463,123.26870541700985,123.40007136176565,3923100
2021-02-23,128.49525451660156,129.780765456656,125.99928663662372,128.05423709728902,4814400
2021-02-24,131.2633056640625,132.25793561719655,128.373240444536,128.73918947102524,4099500
2021-02-25,128.6265869140625,131.96704744271543,127.96036471482908,131.94827678867415,3607500
2021-02-26,126.91883087158203,129.72444980477525,125.5394811459541,128.645373309294,3654800
2021-03-01,130.1560516357422,131.15068136894294,129.60242481629047,129.65872245133025,2972100
2021-03-02,130.66278076171875,131.54481546848316,129.56493362175095,129.71507023520354,2929100
2021-03-03,133.7967987060547,135.35443375433852,131.36652149467864,131.36652149467864,4393700
2021-03-04,133.88125610351562,135.223078842134,131.3196127342824,133.38394109126415,4461700
2021-03-05,138.24449157714844,138.8356454740676,133.31824728365893,135.7391461974543,5048300
2021-03-08,141.00318908691406,142.11980673839997,137.6721067861607,138.19757054737437,4283400
2021-03-09,136.15200805664062,139.8865662066569,135.2230540234807,139.41740010627953,5806100
2021-03-10,137.70021057128906,139.1452354420138,136.47099803523295,136.71495918234496,3049800
2021-03-11,138.63856506347656,138.70425518174133,136.1801395912587,136.99648392059274,3147700
2021-03-12,139.37985229492188,141.35035555166172,138.89192988212793,139.90533032978163,2420100
2021-03-15,137.92550659179688,139.73648153960016,137.02470104452573,138.91074431441982,2586300
2021-03-16,134.46298217773438,138.1787689823992,134.01258681428027,138.16939081655178,4031000
2021-03-17,135.7578887939453,135.88926904024308,133.14932655844098,135.83295708419587,3278500
2021-03-18,133.78738403320312,136.52731187292804,133.30883984702945,136.51793370693625,3173600
2021-03-19,132.03273010253906,133.18687469903304,131.1225467235228,133.14933339307456,5098300
2021-03-22,131.31961059570312,132.2954842656815,130.24991228064465,130.8879857291406,2274100
2021-03-23,127.68827056884766,130.89736555462972,126.79685768132192,130.3719017185226,4905400
2021-03-24,129.88394165039062,131.40403523555224,129.1238948578098,129.46169502315828,2638900
2021-03-25,133.5059051513672,133.74048820291483,128.32630736420762,129.4429249804245,2766400
2021-03-26,134.8665008544922,135.10108393537905,132.3517770999361,134.87589334112926,2687500
2021-03-29,133.59034729003906,134.24719126736446,131.65738529869634,133.2243983141811,2220600
2021-03-30,134.6413116455078,135.57025149197568,133.81557461058958,134.08768468737938,2034500
2021-03-31,133.11663818359375,134.8295286041887,133.03193788847182,134.56600700102027,2957300
2021-04-01,136.06246948242188,136.11893635363725,133.84134826255277,133.9636883632353,2629200
2021-04-05,137.46475219726562,138.80118722175843,137.04123638175412,138.26473768500375,2960100
2021-04-06,137.54946899414062,137.9071116354606,135.88363896250567,137.3894747495636,2851200
2021-04-07,138.4718017578125,139.62941556121314,137.14477300026635,138.74472972284903,2399500
2021-04-08,138.3870849609375,138.50003304890527,136.16596404224262,138.16121750670266,2295600
2021-04-09,139.08351135253906,139.70467543150755,138.0576586032665,139.4882143836902,1783400
2021-04-12,138.88589477539062,139.07412242145924,137.79415432300434,138.59412540900811,1869000
2021-04-13,137.39891052246094,137.97301433865857,135.3754232669466,137.9259538237205,2132100
2021-04-14,138.7447052001953,139.99643979697592,137.12592168863304,137.22944904207648,2141800
2021-04-15,139.78941345214844,139.8458803180564,136.93772183698852,138.82943364916017,2901200
2021-04-16,141.16351318359375,141.59643542811105,139.94001167539565,140.8999915493175,3480000
2021-04-19,139.7987823486328,140.7117013984524,139.10233870792098,140.4105400740263,2259100
2021-04-20,136.561279296875,138.82004031012252,136.0059882213868,138.54711231235558,2526700
2021-04-21,138.51882934570312,138.70707134972233,134.60364554087033,135.52597104500006,2161700
2021-04-22,138.50003051757812,140.1564540487112,137.2859355298541,138.88590655931057,3247300
2021-04-23,135.8365936279297,136.4483372408809,132.40137708200695,133.21076911378174,6395300
2021-04-26,141.49290466308594,142.227002678283,136.99419555011877,138.1612301603341,4821100
2021-04-27,141.51170349121094,142.00110685726537,140.0905682553947,141.83169192404128,2692100
2021-04-28,143.56344604492188,144.4293192841149,140.64588089502809,141.8129012106446,2584500
2021-04-29,145.5304718017578,145.95398771793893,143.13993548765035,144.79637371748305,2636000
2021-04-30,144.3257293701172,144.9751124768908,143.5069169992352,144.5610174751478,2712700
2021-05-03,145.69044494628906,146.86688585451031,144.9469262502167,145.49279655493348,2726200
2021-05-04,145.4363250732422,146.57512615503168,143.84577471807154,145.38926456623676,3025100
2021-05-05,147.1868438720703,147.5068322862751,145.23866559890772,145.7562880027134,3001600
2021-05-06,147.6480712890625,148.24098784964434,144.9563734253393,147.62924421005644,2798800
2021-05-07,149.6244354248047,149.88795700234786,146.1986405558944,146.45275577739994,2617800
2021-05-10,149.34210205078125,151.2338281498262,149.17270145968192,150.3491423229286,2987600
2021-05-11,145.34219360351562,148.5044670113951,144.6080957017623,147.25274665237043,3900100
2021-05-12,143.33755493164062,146.72569593702218,143.1210938379467,145.615142676388,3487400
2021-05-13,145.0128173828125,145.69985486898756,142.8763966201653,143.44109401427028,2269700
2021-05-14,147.9021453857422,148.6456640825611,145.43632983510685,146.24572175520981,1892700
2021-05-17,147.6292266845703,148.11863015465428,146.70690097471547,147.80804801176552,1541400
2021-05-18,145.8692169189453,148.98442909239728,145.7468625104068,148.09974353094103,2417800
2021-05-19,145.62454223632812,145.67160273993903,142.7916779934848,143.1210871579117,3526800
2021-05-20,146.37747192382812,147.05510298726142,144.87162192489862,146.321005062017,3031100
2021-05-21,147.6386260986328,149.46446471654855,147.14923701241815,147.47863185573365,3424100
2021-05-24,149.304443359375,149.55855857470237,147.7138932158996,148.41975764448227,1956900
2021-05-25,148.7114715576172,150.65966373546263,148.45737077334184,149.70910507083218,2484200
2021-05-26,149.2479705810547,150.00089548050516,148.10916969601925,148.85268824003398,3731600
2021-05-27,150.33975219726562,150.85737474429865,149.50212678663428,150.56561967645038,2828400
2021-05-28,150.706787109375,151.18676981858007,149.5115191540793,150.82912719553477,2436400
2021-06-01,154.12315368652344,154.45256286027075,152.04321436005569,152.9467128672114,3827800
2021-06-02,154.4619903564453,155.9396071209344,153.7090796177228,154.92316039063687,3384600
2021-06-03,154.8384552001953,155.685486934953,153.23849838962448,154.04787597212325,2454800
2021-06-04,155.29017639160156,155.97721375702372,153.7090469433672,155.29017639160156,3239300
2021-06-07,156.1560821533203,156.8431197260009,155.63844520368983,155.8831541403441,2516400
2021-06-08,156.7113494873047,157.3042803540767,154.00083915531607,155.15845309252842,2486300
2021-06-09,154.43374633789062,156.36311228555726,154.16081836793623,155.54431401484322,2700100
2021-06-10,152.68321228027344,155.48785791921705,152.57968489949565,155.45961012368508,3024500
2021-06-11,154.8290252685547,154.85725870064314,152.9467198714547,153.40788986365038,1630100
2021-06-14,154.17022705078125,155.17726736931735,153.51142300918573,154.63139706032362,2125700
2021-06-15,156.48545837402344,157.07837479041228,154.16081013156142,154.28315021321467,3726100
2021-06-16,154.98904418945312,156.84311644976685,154.60318243583697,156.0243180670887,3281300
2021-06-17,152.58908081054688,156.23133690065046,151.08323085511648,156.20310347056045,4194400
2021-06-18,148.8621063232422,150.27383523561377,147.99624764695616,149.36091605674557,6900200
2021-06-21,155.1960906982422,155.48786012883636,149.7656493917627,150.65974167799408,3681400
2021-06-22,154.81961059570312,155.5160687251277,152.8996655125607,153.80316401256312,2697600
