Price,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,
2021-01-04,192.3099365234375,196.2043241088998,189.77306298022387,196.2043241088998,3088200
2021-01-05,193.24322509765625,194.2104588699525,190.35001657774015,192.54750190174897,2494000
2021-01-06,197.9011993408203,198.13876458942403,190.9014784638138,190.9014784638138,3754800
2021-01-07,198.55450439453125,199.69990546374822,196.39095177978626,196.72184714818246,2647800
2021-01-08,202.34710693359375,202.66102969688788,199.47085823049383,199.83568598823172,2511100
2021-01-11,201.56655883789062,203.92525215034937,198.90240962766498,203.62828905028252,2600500
2021-01-12,200.7350616455078,202.59317180182927,199.6829904675633,201.184739735372,1771500
2021-01-13,201.71075439453125,202.35557252260176,199.57265415422418,200.22596507832768,1412300
2021-01-14,205.03668212890625,206.58934909093242,199.96293557113702,200.65867164053765,2594000
2021-01-15,208.28627014160156,209.4316713859762,203.6452414787789,204.6294349389148,2855200
2021-01-19,210.6449737548828,211.2643394785805,209.04140157548923,209.14321157216904,2172900
2021-01-20,214.11514282226562,214.95511416103156,208.82080273608264,209.92379187232964,2768200
2021-01-21,213.8351287841797,214.4290419623763,211.70552119295456,213.80967628699528,2215900
2021-01-22,215.08238220214844,216.5501991736618,212.5879335679165,214.03029803878167,1866600
2021-01-25,218.1367645263672,218.14523142963313,213.68239662836592,213.852084244737,1830700
2021-01-26,219.40945434570312,219.80822738879039,216.23624264756967,217.7040593901872,2008900
2021-01-27,213.01211547851562,220.12213931810234,212.3842699961987,216.7537876623317,3237900
2021-01-28,210.20375061035156,234.75792641602797,206.55540845448698,214.21692050863473,5205600
2021-01-29,204.84156799316406,209.11776931180955,203.84040178656076,207.81114720753644,3792800
2021-02-01,203.9931182861328,208.27779948758234,203.27194252515255,207.2766332736316,2173500
2021-02-02,204.0440216064453,205.28275303478176,200.91323479333786,203.62827588250383,2444200
2021-02-03,201.15081787109375,203.51799109121376,196.32312833196087,196.46736348657467,4479200
2021-02-04,201.2695770263672,201.81258522883252,198.32545058518184,200.4720308969851,2819700
2021-02-05,200.5059814453125,202.67801431208215,199.7084352950343,202.1943909436354,2421800
2021-02-08,201.56655883789062,203.31436624749148,200.10722173065656,201.92290679016807,2258200
2021-02-09,200.78591918945312,201.65134281381555,199.20779984918497,201.3204474495497,1996500
2021-02-10,202.32164001464844,203.88278681587988,200.8283579036137,202.27072207749785,2964400
2021-02-11,200.90277099609375,204.39874907067951,200.00528349122177,203.97991200383137,1633900
2021-02-12,202.75758361816406,202.87724947183682,199.57787602903102,200.90274332233656,1460300
2021-02-16,199.02227783203125,203.16786826925227,198.75730436869136,201.7318649572231,2018100
2021-02-17,201.3899688720703,201.58655998573192,197.6546724994985,198.58635760619944,1575400
2021-02-18,198.75729370117188,201.2360918848085,198.56070260063225,201.2360918848085,1945300
2021-02-19,198.039306640625,199.28724868567735,197.32131151531271,198.31282300343926,2471500
2021-02-22,197.85125732421875,199.84284927743408,196.69732634583136,196.87683164745155,2334800
2021-02-23,198.69747924804688,203.43284304918723,197.42388238404152,198.8598726627642,2919200
